,"(A_100,B_100_3_1)","(A_100,B_100_5_3)","(A_100,B_100_10_2)","(A_1000,B_1000_5_3)","(A_1000,B_1000_10_4)","(A_1000,B_1000_50_1)","(A_10000,B_10000_5_2)","(A_10000,B_10000_50_1)","(A_10000,B_10000_500_4)"
sqlite_q1_time,0.001999616622925,0.010313630104065,0.016405820846558,0.008129119873047,0.001112937927246,0.000715970993042,0.001515626907349,0.000733494758606,0.000722169876099
mongo_q1_time,0.003279328346252,0.003092527389526,0.003197193145752,0.003795146942139,0.003642559051514,0.003583908081055,0.007114052772522,0.007543206214905,0.007237076759338
maria_q1_time,0.034667849540711,0.039448738098145,0.054986357688904,0.005831956863403,0.002810120582581,0.002960562705994,0.009275794029236,0.009808778762817,0.01189398765564
mariaIdx_q1_time,0.002126336097717,0.001829504966736,0.001734375953674,0.003137946128845,0.003107666969299,0.002685546875,0.009380102157593,0.010149478912354,0.008461236953735
sqlite_q2_time,0.000887393951416,0.000838279724121,0.001428723335266,0.007151484489441,0.010660409927368,0.068022847175598,0.092901706695557,0.548771142959595,6.19282233715057
mongo_q2_time,0.007326364517212,0.007173418998718,0.010112047195435,0.035550475120545,0.054900884628296,0.284677147865295,0.346505641937256,3.19336199760437,139.280927878619
maria_q2_time,0.106220602989197,0.036542654037476,0.019236564636231,0.074264049530029,0.150654911994934,0.505188226699829,0.652893781661987,5.44799220561981,117.447086215019
mariaIdx_q2_time,0.00704288482666,0.00741457939148,0.010794043540955,0.056752562522888,0.095376014709473,0.422372817993164,0.559252023696899,3.99998116493225,89.0909888744354
sqlite_q3_time,0.001969695091248,0.001123309135437,0.001113653182983,0.001168966293335,0.001947522163391,0.005192637443542,0.007711887359619,0.055838108062744,0.6356121301651
mongo_q3_time,0.002764463424683,0.002894163131714,0.002768635749817,0.004975438117981,0.006463527679443,0.017870903015137,0.031387329101563,0.134539484977722,1.35160839557648
maria_q3_time,0.024576306343079,0.053210735321045,0.004230260848999,0.009057641029358,0.006315350532532,0.018695831298828,0.02571713924408,0.147968292236328,1.27738523483276
mariaIdx_q3_time,0.020016670227051,0.009940505027771,0.00383985042572,0.004443883895874,0.00509786605835,0.023170828819275,0.020658493041992,0.090188026428223,0.818157076835632
sqlite_q4_time,0.001116752624512,0.001577258110046,0.001509547233582,0.008012413978577,0.014133810997009,0.063355803489685,0.0850590467453,0.667809963226318,7.31633961200714
mongo_q4_time,0.017353653907776,0.025632500648499,0.03647780418396,0.186211228370667,0.31010901927948,1.46250450611115,1.79432356357574,13.6360275745392,245.683402534752
maria_q4_time,0.009644150733948,0.009785890579224,0.016044735908508,0.385921716690063,0.659003496170044,2.85260879993439,33.1925891637802,148.654636754636,255.5436434853
mariaIdx_q4_time,0.011483073234558,0.016226053237915,0.015663027763367,0.07216739654541,0.112279772758484,0.448927283287048,0.576079845428467,3.88727867603302,15.5435446432664
